"gene","xist_r","airn_r","kcnq1ot1_r"
"0610009B22Rik_chr11_51685386_51688874_-_ENSMUSG00000007777.9_ENSMUSG00000007777.9.unspliced",0.310509607630116,0.211801006598514,0.181354712852496
"0610009E02Rik_chr2_26445696_26459390_+_ENSMUSG00000086714.1_ENSMUSG00000086714.1.unspliced",0.107321192961562,0.337567108591361,0.374619411813084
"0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUSG00000043644.4.unspliced",-0.0013196187075087,0.229593729025941,0.193993231306508
"0610009L18Rik_chr11_120348678_120351190_+_ENSMUSG00000043644.4_ENSMUST00000143813.1",-0.00223988764521007,0.108897481379763,0.103196063954018
"0610010F05Rik_chr11_23564961_23633639_-_ENSMUSG00000042208.15_ENSMUSG00000042208.15.unspliced",0.324781543168604,0.353281665036855,0.346335753274157
"0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUSG00000020831.18.unspliced",0.0615831325622504,0.119001653339525,0.12341293266377
"0610010K14Rik_chr11_70235206_70237914_-_ENSMUSG00000020831.18_ENSMUST00000100950.9",0.0846369199746416,-0.00833259263303497,0.00715918251127016
"0610012D04Rik_chr17_87362239_87364462_-_ENSMUSG00000089755.1_ENSMUSG00000089755.1.unspliced",0.208498275414109,0.371044022668878,0.366019321413178
"0610030E20Rik_chr6_72347317_72353148_+_ENSMUSG00000058706.5_ENSMUSG00000058706.5.unspliced",0.0724200405653881,0.212751419520174,0.225200963831687
"0610038B21Rik_chr8_77517056_77523898_+_ENSMUSG00000097882.2_ENSMUSG00000097882.2.unspliced",0.185644538645294,0.250814682460256,0.260727415882884
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUSG00000089889.2.unspliced",0.237255852711549,0.201528679032383,0.215992006067288
"0610040B10Rik_chr5_143329247_143332704_+_ENSMUSG00000089889.2_ENSMUST00000198455.1",0.237254359610138,0.0921620435940152,0.0933851235694375
"0610040F04Rik_chr6_108577039_108660934_-_ENSMUSG00000087341.4_ENSMUSG00000087341.4.unspliced",0.318434186520566,0.450373661699993,0.456167160818322
"0610040J01Rik_chr5_63812363_63899625_+_ENSMUSG00000060512.7_ENSMUSG00000060512.7.unspliced",0.213850819567492,0.499763213624297,0.4599672984976
"0610043K17Rik_chr4_101353783_101399181_+_ENSMUSG00000087361.7_ENSMUSG00000087361.7.unspliced",0.128108790479066,0.105478384541338,0.125271230577422
"1110002J07Rik_chr10_66912489_66920258_-_ENSMUSG00000097134.2_ENSMUSG00000097134.2.unspliced",0.0854787232650685,0.0171520335793014,-0.0215665394908791
"1110002L01Rik_chr12_3403878_3427011_-_ENSMUSG00000071456.6_ENSMUSG00000071456.6.unspliced",0.173710043928997,0.204845089891743,0.205928812014541
"1110003F10Rik_chr5_65405751_65406517_+_ENSMUSG00000106291.1_ENSMUST00000199441.1.monoexonic.unspliced",0.158354578887089,0.0190283206927165,-0.114088706356214
"1110004F10Rik_chr7_116039397_116105210_+_ENSMUSG00000030663.12_ENSMUSG00000030663.12.unspliced",0.108553719134109,0.220166783375768,0.178763060545144
"1110008P14Rik_chr2_32377097_32381938_-_ENSMUSG00000039195.4_ENSMUSG00000039195.4.unspliced",0.141217180293211,0.171926374462411,0.201687316478132
"1110012L19Rik_chrX_70385877_70389417_+_ENSMUSG00000045237.5_ENSMUSG00000045237.5.unspliced",-0.0333781768225525,0.00678050625357675,-0.0118951670843627
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUSG00000097616.7.unspliced",0.0399476499337734,0.321863537697762,0.418842617931211
"1110019D14Rik_chr6_13871526_14044385_+_ENSMUSG00000097616.7_ENSMUST00000181225.1",0.0626975344567502,0.143978270172506,0.22266225966165
"1110025M09Rik_chr15_81584174_81585028_-_ENSMUSG00000103520.1_ENSMUST00000192082.1.monoexonic.unspliced",-0.0104728963131189,0.0639026894478109,0.0854754562720598
"1110032A03Rik_chr9_50762828_50775520_-_ENSMUSG00000037971.10_ENSMUSG00000037971.10.unspliced",0.154285717261424,0.217796708451819,0.175586452419899
"1110035H17Rik_chr7_29155680_29156920_+_ENSMUSG00000099098.4_ENSMUST00000205672.1",0.00468498737481985,0.012080442300727,-0.00858213763583517
"1110038B12Rik_chr17_34950238_34952471_-_ENSMUSG00000092203.7_ENSMUSG00000092203.7.unspliced",0.354352873161905,0.265817260273441,0.227658291476712
"1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUSG00000063236.6.unspliced",0.19562654596472,0.250814415937858,0.113441404906119
"1110038F14Rik_chr15_76948506_76950979_+_ENSMUSG00000063236.6_ENSMUST00000229229.1",0.225651367740307,0.181446132221454,0.0943794875551268
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUSG00000085457.3.unspliced",0.154105627310519,0.231881828014556,0.277572292732667
"1110046J04Rik_chr13_33935567_33960181_+_ENSMUSG00000085457.3_ENSMUST00000180906.1",-0.0542689172593848,0.0563935842345708,0.122032124310529
"1110051M20Rik_chr2_91275068_91444704_-_ENSMUSG00000040591.18_ENSMUSG00000040591.18.unspliced",0.102470502415886,0.346435482051155,0.277976589722882
